S	SGEHEAPRUNMARKER	20	game
F	4	256	fd_array
S	_NLSTABLEINFO	96	misc
F	0	44	OemTableInfo
F	44	44	AnsiTableInfo
F	88	4	UpperCaseTable
F	92	4	LowerCaseTable
S	__unnamed_203	4	misc
F	0	4	Register
F	0	4	Raw
S	__unnamed_204	8	misc
F	0	8	Bit64
F	0	8	Bit32
S	_PCI_MSI_CAPABILITY	16	misc
F	0	2	Header
F	2	2	MessageControl
F	4	4	MessageAddress
F	8	8	Data
S	__unnamed_208	8	misc
F	0	4	Settable
F	4	4	Tag
S	__unnamed_209	8	misc
F	0	4	CommittedSize
F	4	4	FirstBlock
S	__unnamed_210	8	misc
F	0	8	s1
F	0	8	s2
S	_FLOAT128	16	misc
F	0	8	LowPart
F	8	8	HighPart
S	__unnamed_216	4	misc
F	0	1	BaseMid
F	1	1	Flags1
F	2	1	Flags2
F	3	1	BaseHi
S	__unnamed_217	4	misc
F	0	4	BaseMid
F	0	4	Type
F	0	4	Dpl
F	0	4	Pres
F	0	4	LimitHi
F	0	4	Sys
F	0	4	Reserved_0
F	0	4	Default_Big
F	0	4	Granularity
F	0	4	BaseHi
S	__unnamed_218	4	misc
F	0	4	Bytes
F	0	4	Bits
S	_LDT_ENTRY	8	misc
F	0	2	LimitLow
F	2	2	BaseLow
F	4	4	HighWord
S	HKL__	4	misc
F	0	4	unused
S	_POINTL	8	misc
F	0	4	x
F	4	4	y
S	_DRIVER_VERIFIER_THUNK_PAIRS	8	misc
S	__unnamed_230	4	misc
F	0	2	Linenumber
F	2	2	Size
S	__unnamed_231	4	misc
F	0	4	LnSz
F	0	4	TotalSize
S	__unnamed_232	8	misc
F	0	4	PointerToLinenumber
F	4	4	PointerToNextFunction
S	__unnamed_233	8	misc
F	0	8	Dimension
S	__unnamed_234	8	misc
F	0	8	Function
F	0	8	Array
S	__unnamed_235	18	misc
F	0	4	TagIndex
F	4	4	Misc
F	8	8	FcnAry
F	16	2	TvIndex
S	__unnamed_236	18	misc
F	0	18	Name
S	__unnamed_237	16	misc
F	0	4	Length
F	4	2	NumberOfRelocations
F	6	2	NumberOfLinenumbers
F	8	4	CheckSum
F	12	2	Number
F	14	1	Selection
S	_BY_HANDLE_FILE_INFORMATION	52	misc
F	0	4	dwFileAttributes
F	4	8	ftCreationTime
F	12	8	ftLastAccessTime
F	20	8	ftLastWriteTime
F	28	4	dwVolumeSerialNumber
F	32	4	nFileSizeHigh
F	36	4	nFileSizeLow
F	40	4	nNumberOfLinks
F	44	4	nFileIndexHigh
F	48	4	nFileIndexLow
S	AIFFINSTRUMENT	20	misc
F	0	1	bBaseNote
F	1	1	bDetune
F	2	1	bLowNote
F	3	1	bHighNote
F	4	1	bLowVelocity
